Name,Sector,rating_num,currentRatio,cashRatio,netProfitMargin,operatingProfitMargin,debtRatio,debtEquityRatio,returnOnEquity,operatingCashFlowSalesRatio,rating_note
Avery Dennison Corporation,Consumer Durables,7.0,1.236999705,0.16059458033333332,0.03671788733333333,0.045014385,0.707365675,2.4691632056666664,0.17141680066666667,0.06543601266666667,BBB
Avista Corporation,Public Utilities,8.0,0.88244736725,0.0826630665,0.08597774025,0.1596336205,0.69754263275,2.3125939787500003,0.094719822,0.18767922174999999,A
Axalta Coating Systems Ltd.,Basic Industries,5.0,1.978345833,0.403612549,0.006239326,0.084139816,0.832922851,4.985258926,0.026227625,0.057246954,B
"BCE, Inc.",Public Utilities,6.428571428571429,0.5798353902857143,0.05805171985714286,0.12249538971428572,0.21678585885714283,0.6525198504285713,1.9698825174285715,0.17155085057142858,0.283036438,BB
BP p.l.c.,Energy,8.0,1.075752492,0.169873946,0.065279533,0.102913913,0.615628851,1.616251972,0.225978775,0.057527394,A
BRF S.A.,Consumer Non-Durables,7.0,1.58476839475,0.3569165715,0.049444227,0.07895109275000001,0.541670082,1.18886781175,0.09132677075,0.0646197215,BBB
Babcock,Capital Goods,7.0,1.5801976496666665,0.4359087056666667,-0.026745140333333334,-0.028024691666666667,0.5786751410000001,1.4005109816666668,-0.07416680366666667,0.027368558,BBB
"Baidu, Inc.",Technology,8.0,3.7859834913333335,1.0014223376666667,0.3465482753333333,0.38523377833333333,0.4281017843333334,0.7912394006666666,0.30198315000000003,0.44508468133333334,A
Ball Corporation,Consumer Durables,6.6,1.1866507450000001,0.141242022,0.0436951644,0.0831048004,0.8404746343999999,5.4685269398,0.2918448198,0.0948803612,BBB
Barrick Gold Corporation,Basic Industries,7.0,2.04459569325,0.83431625825,-0.20845190725,-0.10000620425000001,0.537862413,1.4185252557499999,-0.220557637,0.3379095715,BBB
Baxter International Inc.,Health Care,7.6,1.927046135,0.5901217907999999,0.205473177,0.12002175320000001,0.6118590096000001,1.6782594264,0.31826653920000003,0.18663420479999998,A
Baytex Energy Corp,Energy,4.75,0.8663813015,0.0199690785,-0.24635309174999998,-0.225565926,0.5426241195,1.2039762315,-0.049687988,0.58660527475,B
"Beacon Roofing Supply, Inc.",Consumer Services,5.0,2.181598258,0.114944178,0.024760563,0.046549954,0.428741093,0.750519751,0.070519615,0.043472228,B
"Beazer Homes USA, Inc.",Capital Goods,4.166666666666667,517.4839156783333,32.624409724833335,-0.2805420416666667,-0.07943134449999999,0.8086687998333334,4.882654179333334,-0.00484328299999999,-0.10421424466666661,CCC
Bed Bath & Beyond Inc.,Consumer Services,7.0,2.0747528306666667,0.30867303333333335,0.07965794933333332,0.12935562599999997,0.5267388683333333,1.2052338126666666,0.31239405400000003,0.101223097,BBB
Belden Inc,Basic Industries,5.2,2.3836082692,1.1386084756,0.054165111200000005,0.0765456516,0.7004704032,2.4291270282,0.12465670079999999,0.0950564804,B
"Berry Global Group, Inc.",Consumer Non-Durables,4.0,1.954678363,0.207602339,0.012265978,0.083064343,1.038169426,-27.19897959,-0.290816327,0.099849365,CCC
"Bio-Rad Laboratories, Inc.",Capital Goods,7.0,3.8791845325,1.087864009,0.0633994925,0.10565076600000001,0.3914355645,0.6524172435,0.071427111,0.125479753,BBB
BioMarin Pharmaceutical Inc.,Health Care,4.0,4.2468019245,2.3025515094999998,-0.18571667149999999,-0.1240410525,0.371365887,0.5916729105,-0.0796198965,-0.1735171885,CCC
Biogen Inc.,Health Care,7.833333333333333,2.3586383035,0.5040488115,0.2643044015,0.36158081933333336,0.32786602933333336,0.5225065336666667,0.23714205283333334,0.33570094433333336,A
Black Hills Corporation,Public Utilities,7.0,1.0612567014,0.23708343999999998,0.048979193600000005,0.1400766706,0.6975908876,2.3446379558,0.0497987486,0.23883839819999997,BBB
Boeing Company (The),Capital Goods,8.0,1.206813006,0.243470466,0.09856696,0.004044519,1.0,22.75561878,1.92745377,0.058529134,A
Booz Allen Hamilton Holding Corporation,Consumer Services,6.0,1.473408828,0.233238274,0.029619152000000003,0.07205831900000001,0.817586539,8.3811286645,0.6701922895,0.0558812145,BB
BorgWarner Inc.,Capital Goods,7.75,1.386439887,0.34485807775,0.08275773475,0.11500163575,1.0,2.231552793,0.19843557575,0.100147899,A
Boston Scientific Corporation,Health Care,6.4,1.3935009432,0.13177997760000001,0.006841660799999999,0.0208373606,0.5945290936000001,1.52111287,0.003126227600000002,0.1303660994,BB
"Bottomline Technologies, Inc.",Technology,5.0,2.371993765,1.342578322,-0.0841823135,-0.0052749165,0.4702827775,0.8915152195,-0.074405704,0.18161037549999998,B
Boyd Gaming Corporation,Consumer Services,4.5,0.7577055047500001,0.437056553,0.045872719,0.117987767,0.84927038125,6.66915462475,0.09162661424999999,0.12435589775,CCC
Braskem S.A.,Basic Industries,7.0,1.0375601715,0.3377247495,0.039838821999999996,0.111416788,0.9356685840000001,22.126382227500002,0.982913405,0.145863405,BBB
Briggs & Stratton Corporation,Energy,6.0,2.7900038879999998,0.5604062093333334,0.007096517666666666,0.012677775333333334,0.5603767946666666,1.287913664666667,0.023775276,0.07762015566666666,BB
"Brinker International, Inc.",Consumer Services,6.0,0.408779885,0.072717098,0.061625688,0.097460344,1.144697959,-7.910947494,-0.942026945,0.121166948,BB
